Domain Name | Source IP | Destination IP | Query Type | Count
amcdn.msftauth.net | 192.168.1.179 | 192.168.1.1 | A | 1 fois
amcdn.msftauth.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
eu-office.events.data.microsoft.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
eu-office.events.data.microsoft.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
amcdn.msftauth.net | 192.168.1.1 | 192.168.1.179 | A | 1 fois
amcdn.msftauth.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
amcdn.msftauth.net | 127.0.0.53 | 127.0.0.1 | A | 1 fois
part-0039.t-0009.t-msedge.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 2 fois
part-0039.t-0009.t-msedge.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 2 fois
amcdn.msftauth.net | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
eu-office.events.data.microsoft.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
onedscolprdweu09.westeurope.cloudapp.azure.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
onedscolprdweu09.westeurope.cloudapp.azure.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
eu-office.events.data.microsoft.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
admin.microsoft.com | 127.0.0.1 | 127.0.0.53 | A | 2 fois
admin.microsoft.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 4 fois
admin.microsoft.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
admin.microsoft.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
messaging.engagement.office.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
messaging.engagement.office.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
messaging.engagement.office.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
messaging.engagement.office.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
admin.microsoft.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
admin.microsoft.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
messaging.engagement.office.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
admin.microsoft.com | 127.0.0.53 | 127.0.0.1 | A | 2 fois
prod-campaignaggregator.omexexternallfb.office.net.akadns.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
b-0004.b-msedge.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 2 fois
messaging.engagement.office.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
messaging.engagement.office.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
prod-campaignaggregator.omexexternallfb.office.net.akadns.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
messaging.engagement.office.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
b-0004.b-msedge.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 2 fois
admin.microsoft.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 2 fois
login.live.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
login.live.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
login.live.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
